id,raw_text,normalized_text,label,split
83,"Cách duy trì động lực học tập?","cách duy trì động lực học tập",qa,train
84,"Bật app đặt đồ ăn!","bật app đặt đồ ăn",control_device,train
85,"Tạo nhắc nhở học lúc 6 giờ sáng.","tạo nhắc nhở học lúc 6 giờ sáng",calendar,train
86,"Nhắc tôi làm bài tập tối nay.","nhắc tôi làm bài tập tối nay",calendar,train
87,"Ngày hôm nay bận hay rảnh?","ngày hôm nay bận hay rảnh",calendar,train
88,"Sáng nay có việc gì không?","sáng nay có việc gì không",calendar,train
89,"Ghi nhớ tôi thích cà phê.","ghi nhớ tôi thích cà phê",personalize,train
90,"Cách bảo quản rau trong tủ lạnh?","cách bảo quản rau trong tủ lạnh",qa,train
91,"Tôi thích không gian yên tĩnh khi học.","tôi thích không gian yên tĩnh khi học",personalize,train
92,"Mở Chrome!","mở chrome",control_device,train
93,"Thẻ ATM dùng để làm gì?","thẻ atm dùng để làm gì",qa,train
94,"Tôi thích nghe nhạc khi làm việc.","tôi thích nghe nhạc khi làm việc",personalize,train
95,"Bật wifi!","bật wifi",control_device,train
96,"Mở ứng dụng gọi điện!","mở ứng dụng gọi điện",control_device,train
97,"Chỉnh sửa ảnh!","chỉnh sửa ảnh",control_device,train
98,"Mở đèn pin!","mở đèn pin",control_device,train
99,"Khi nào nên nghỉ ngơi trong lúc làm việc?","khi nào nên nghỉ ngơi trong lúc làm việc",qa,train
100,"Mở Word giúp tôi!","mở word giúp tôi",control_device,train
101,"Vì sao nên đi đúng làn đường?","vì sao nên đi đúng làn đường",qa,train
102,"Nhớ là tôi đang tìm hiểu Python.","nhớ là tôi đang tìm hiểu python",personalize,train
103,"Thêm lịch học lúc 7h.","thêm lịch học lúc 7h",calendar,train
104,"Xem lịch trình của tôi.","xem lịch trình của tôi",calendar,train
105,"Chạy PowerPoint ngay!","chạy powerpoint ngay",control_device,train
106,"Giảm âm lượng xuống!","giảm âm lượng xuống",control_device,train
107,"Vì sao nên theo dõi thu chi hàng tháng?","vì sao nên theo dõi thu chi hàng tháng",qa,train
108,"Ghi lại thói quen tập gym của tôi.","ghi lại thói quen tập gym của tôi",personalize,train
109,"Tạo lịch họp nhóm vào chiều mai.","tạo lịch họp nhóm vào chiều mai",calendar,train
110,"Nhắc lại lịch ngày mai.","nhắc lại lịch ngày mai",calendar,train
111,"Tôi có cuộc hẹn nào không?","tôi có cuộc hẹn nào không",calendar,train
112,"Lịch gần nhất của tôi là gì?","lịch gần nhất của tôi là gì",calendar,train
113,"Tạo sự kiện họp online tối nay.","tạo sự kiện họp online tối nay",calendar,train
114,"Ghi lại rằng tôi thích trà sữa.","ghi lại rằng tôi thích trà sữa",personalize,train
115,"Hôm nay có mưa không?","hôm nay có mưa không",qa,train
116,"Bao lâu nên tập thể dục một lần?","bao lâu nên tập thể dục một lần",qa,train
117,"Tắt chế độ máy bay!","tắt chế độ máy bay",control_device,train
118,"Tiền điện tính như thế nào?","tiền điện tính như thế nào",qa,train
119,"Tôi muốn giảm cân.","tôi muốn giảm cân",personalize,train
120,"Tại sao cần đặt mục tiêu trong công việc?","tại sao cần đặt mục tiêu trong công việc",qa,train
121,"Cuối tuần tôi có lịch gì?","cuối tuần tôi có lịch gì",calendar,train
122,"Giảm độ sáng giúp tôi dễ chịu hơn.","giảm độ sáng giúp tôi dễ chịu hơn",personalize,train
123,"Tại sao xe điện thân thiện môi trường?","tại sao xe điện thân thiện môi trường",qa,train
124,"Căn bậc hai của 144 bằng bao nhiêu?","căn bậc hai của 144 bằng bao nhiêu",qa,train
125,"Bao nhiêu giây trong một phút?","bao nhiêu giây trong một phút",qa,train
126,"Tôi không thích thông báo bằng âm thanh.","tôi không thích thông báo bằng âm thanh",personalize,train
127,"Tại sao cần quỹ dự phòng?","tại sao cần quỹ dự phòng",qa,train
128,"Tôi thích chơi game chiến thuật.","tôi thích chơi game chiến thuật",personalize,train
129,"Tối nay có lịch gì không?","tối nay có lịch gì không",calendar,train
130,"Nhiệt độ hôm nay bao nhiêu?","nhiệt độ hôm nay bao nhiêu",qa,train
131,"Lịch học tiếng Anh tối nay thế nào?","lịch học tiếng anh tối nay thế nào",calendar,train
132,"Đóng tất cả tab!","đóng tất cả tab",control_device,train
133,"Làm sao để ngủ nhanh hơn?","làm sao để ngủ nhanh hơn",qa,train
134,"Bật chế độ tiết kiệm pin đi!","bật chế độ tiết kiệm pin đi",control_device,train
135,"Cách giữ nhà cửa gọn gàng?","cách giữ nhà cửa gọn gàng",qa,train
136,"Dừng nhạc lại!","dừng nhạc lại",control_device,train
137,"Cách giảm căng thẳng?","cách giảm căng thẳng",qa,train
138,"Ngày mốt có việc gì không?","ngày mốt có việc gì không",calendar,train
139,"Tại sao cảm xúc ảnh hưởng đến quyết định?","tại sao cảm xúc ảnh hưởng đến quyết định",qa,train
140,"Lưu thói quen của tôi.","lưu thói quen của tôi",personalize,train
141,"Nhắc tôi dọn bàn làm việc.","nhắc tôi dọn bàn làm việc",calendar,train
142,"Mở trình quản lý tác vụ!","mở trình quản lý tác vụ",control_device,train
143,"Tôi không thích ánh sáng mạnh.","tôi không thích ánh sáng mạnh",personalize,train
144,"Vì sao lãi kép quan trọng?","vì sao lãi kép quan trọng",qa,train
145,"Sấm sét hình thành như thế nào?","sấm sét hình thành như thế nào",qa,train
146,"Nhắc tôi đi làm mỗi sáng 8h.","nhắc tôi đi làm mỗi sáng 8h",calendar,train
147,"Thêm lịch gọi điện lúc 8 giờ.","thêm lịch gọi điện lúc 8 giờ",calendar,train
148,"Chào bạn!","chào bạn",qa,train
149,"Hello!","hello",qa,train
150,"Hi!","hi",qa,train
151,"Xin chào!","xin chào",qa,train
152,"Bạn khỏe không?","bạn khỏe không",qa,train
153,"Tên bạn là gì?","tên bạn là gì",qa,train
154,"Bạn là ai?","bạn là ai",qa,train
155,"Chào buổi sáng!","chào buổi sáng",qa,train
156,"Microcontroller là gì?","microcontroller là gì",qa,train
157,"Ý nghĩa của đèn giao thông?","ý nghĩa của đèn giao thông",qa,train
158,"Ngày mai có bận không?","ngày mai có bận không",calendar,train
159,"Nấu phở bò cần những gì?","nấu phở bò cần những gì",qa,train
160,"Làm việc nhóm có lợi ích gì?","làm việc nhóm có lợi ích gì",qa,train
161,"Tôi cần uống nước đều đặn mỗi 2 tiếng.","tôi cần uống nước đều đặn mỗi 2 tiếng",personalize,train
162,"Bật chế độ không làm phiền!","bật chế độ không làm phiền",control_device,train
163,"Tối nay tôi có lịch gì?","tối nay tôi có lịch gì",calendar,train
164,"Mấy giờ rồi vậy?","mấy giờ rồi vậy",qa,train
165,"AI là gì?","ai là gì",qa,train
166,"Tại sao cần uống đủ nước?","tại sao cần uống đủ nước",qa,train
167,"Có lịch nộp bài không hôm nay?","có lịch nộp bài không hôm nay",calendar,train
168,"Tôi đang muốn cải thiện cân nặng.","tôi đang muốn cải thiện cân nặng",personalize,train
169,"Tại sao nên học mỗi ngày?","tại sao nên học mỗi ngày",qa,train
170,"Cách vượt qua áp lực?","cách vượt qua áp lực",qa,train
171,"Mở command prompt!","mở command prompt",control_device,train
172,"Lịch tuần sau có gì?","lịch tuần sau có gì",calendar,train
173,"Lên lịch họp công ty vào sáng thứ hai.","lên lịch họp công ty vào sáng thứ hai",calendar,train
174,"Tại sao cần giảm tốc độ khi trời mưa?","tại sao cần giảm tốc độ khi trời mưa",qa,train
175,"Tạo lịch làm việc giao hàng tối thứ sáu.","tạo lịch làm việc giao hàng tối thứ sáu",calendar,train
176,"Lợi ích của việc uống nhiều nước?","lợi ích của việc uống nhiều nước",qa,train
177,"Tôi thích ăn sáng nhẹ.","tôi thích ăn sáng nhẹ",personalize,train
178,"Nhớ là tôi không thích ồn ào.","nhớ là tôi không thích ồn ào",personalize,train
179,"Ghi lại là tôi thích thể thao.","ghi lại là tôi thích thể thao",personalize,train
180,"Mở cài đặt wifi!","mở cài đặt wifi",control_device,train
181,"Tôi muốn tự động tắt đèn sau 12 giờ đêm.","tôi muốn tự động tắt đèn sau 12 giờ đêm",personalize,train
182,"Mở lịch lên!","mở lịch lên",control_device,train
183,"Mở gmail!","mở gmail",control_device,train
184,"Tôi không uống cà phê.","tôi không uống cà phê",personalize,train
185,"Cách giữ sức khỏe tốt?","cách giữ sức khỏe tốt",qa,train
186,"Đổi 100 USD sang VND như thế nào?","đổi 100 usd sang vnd",qa,train
187,"Kích hoạt tiết kiệm pin!","kích hoạt tiết kiệm pin",control_device,train
188,"Tại sao đầu tư có rủi ro?","tại sao đầu tư có rủi ro",qa,train
189,"Bao lâu nên vệ sinh máy lạnh?","bao lâu nên vệ sinh máy lạnh",qa,train
190,"Thêm lịch xem tin tức mỗi sáng.","thêm lịch xem tin tức mỗi sáng",calendar,train
191,"Tuần sau có việc gì quan trọng?","tuần sau có việc gì quan trọng",calendar,train
192,"Mở word lên!","mở word lên",control_device,train
193,"Hãy nhớ tôi thích học buổi sáng.","hãy nhớ tôi thích học buổi sáng",personalize,train
194,"Tối nay tôi có kế hoạch gì không?","tối nay có kế hoạch gì không",calendar,train
195,"Khởi động Microsoft Excel!","khởi động microsoft excel",control_device,train
196,"Tạo lịch đi chơi vào cuối tuần.","tạo lịch đi chơi vào cuối tuần",calendar,train
197,"Có sự kiện nào sắp diễn ra không?","có sự kiện nào sắp diễn ra không",calendar,train
198,"Lưu thói quen uống nước mỗi 2 tiếng.","lưu thói quen uống nước mỗi 2 tiếng",personalize,train
199,"Chụp screenshot!","chụp screenshot",control_device,train
200,"Tôi làm việc hiệu quả vào buổi sáng.","tôi làm việc hiệu quả vào buổi sáng",personalize,train
201,"Hôm nay có lịch học không?","hôm nay có lịch học không",calendar,train
202,"Mở album ảnh!","mở album ảnh",control_device,train
203,"Ngày mai có việc gì cần làm?","ngày mai có việc gì cần làm",calendar,train
204,"Thêm lịch học guitar tối nay.","thêm lịch học guitar tối nay",calendar,train
205,"Ngày mai tôi có bao nhiêu cuộc họp?","ngày mai tôi có bao nhiêu cuộc họp",calendar,train
206,"Tại sao không nên tiêu hết tiền kiếm được?","tại sao không nên tiêu hết tiền kiếm được",qa,train
207,"Vì sao học qua phim ảnh hiệu quả?","vì sao học qua phim ảnh hiệu quả",qa,train
208,"Làm sao để tự tin hơn?","làm sao để tự tin hơn",qa,train
209,"Vì sao nên đặt câu hỏi khi học?","vì sao nên đặt câu hỏi khi học",qa,train
210,"Mở thùng rác!","mở thùng rác",control_device,train
211,"Giảm độ sáng màn hình!","giảm độ sáng màn hình",control_device,train
212,"Google được thành lập khi nào?","google được thành lập khi nào",qa,train
213,"Hôm nay có deadline nào không?","hôm nay có deadline nào không",calendar,train
214,"Chỉ đường về nhà giúp tôi!","chỉ đường về nhà giúp tôi",control_device,train
215,"Thêm lịch nghe nhạc buổi tối.","thêm lịch nghe nhạc buổi tối",calendar,train
216,"Thoát Zalo!","thoát zalo",control_device,train
217,"Restart máy tính!","restart máy tính",control_device,train
218,"Mở file PowerPoint!","mở file powerpoint",control_device,train
219,"Variable là gì?","variable là gì",qa,train
220,"Tại sao nên lập kế hoạch trước?","tại sao nên lập kế hoạch trước",qa,train
221,"Tôi thường đi xe máy.","tôi thường đi xe máy",personalize,train
222,"Tăng âm lượng!","tăng âm lượng",control_device,train
223,"Tôi hay ăn sáng lúc 7 giờ.","tôi hay ăn sáng lúc 7 giờ",personalize,train
224,"Lên lịch nói chuyện với khách hàng.","lên lịch nói chuyện với khách hàng",calendar,train
225,"Machine learning khác deep learning chỗ nào?","machine learning khác deep learning chỗ nào",qa,train
226,"Mở thư mục file!","mở thư mục file",control_device,train
227,"Khóa điện thoại ngay!","khóa điện thoại ngay",control_device,train
228,"Cách ghi nhớ nhanh bài học?","cách ghi nhớ nhanh bài học",qa,train
229,"Tắt wifi ngay!","tắt wifi ngay",control_device,train
230,"Tuần sau tôi có lịch gì?","tuần sau tôi có lịch gì",calendar,train
231,"Thêm lịch học lập trình vào chiều nay.","thêm lịch học lập trình vào chiều nay",calendar,train
232,"Vì sao có hiện tượng thủy triều?","vì sao có hiện tượng thủy triều",qa,train
233,"Thêm lịch tập thể dục buổi sáng.","thêm lịch tập thể dục buổi sáng",calendar,train
234,"Vì sao việc học không nên bị gián đoạn?","vì sao việc học không nên bị gián đoạn",qa,train
235,"Tắt Messenger!","tắt messenger",control_device,train
236,"Hôm nay tôi có lịch gì?","hôm nay tôi có lịch gì",calendar,train
237,"Lên lịch chơi game tối nay.","lên lịch chơi game tối nay",calendar,train
238,"Lịch họp nhóm dự án lúc mấy giờ?","lịch họp nhóm dự án lúc mấy giờ",calendar,train
239,"Mở ứng dụng chỉnh sửa video!","mở ứng dụng chỉnh sửa video",control_device,train
240,"Lịch ngày 25 có gì?","lịch ngày 25 có gì",calendar,train
241,"Tại sao cần thử những điều mới?","tại sao cần thử những điều mới",qa,train
242,"Khởi động lại máy!","khởi động lại máy",control_device,train
243,"Lịch hôm nay có gì đáng chú ý?","lịch hôm nay có gì đáng chú ý",calendar,train
244,"Tiêu chí chấm IELTS writing là gì?","tiêu chí chấm ielts writing là gì",qa,train
245,"Làm mới màn hình desktop!","làm mới màn hình desktop",control_device,train
246,"Nhắc tôi giặt quần áo tối nay.","nhắc tôi giặt quần áo tối nay",calendar,train
247,"Hôm nay có cuộc hẹn nào không?","hôm nay có cuộc hẹn nào không",calendar,train
248,"Mở điểm phát wifi!","mở điểm phát wifi",control_device,train
249,"Gọi điện cho Đan!","gọi điện cho đan",control_device,train
250,"Thêm lịch học online lúc 10 giờ sáng.","thêm lịch học online lúc 10 giờ sáng",calendar,train
251,"Xem Netflix!","xem netflix",control_device,train
252,"Cách sử dụng máy giặt đúng cách?","cách sử dụng máy giặt đúng cách",qa,train
253,"Thêm lịch họp team vào thứ ba.","thêm lịch họp team vào thứ ba",calendar,train
254,"Lịch thi đấu bóng đá hôm nay?","lịch thi đấu bóng đá hôm nay",qa,train
255,"Thêm lịch đi ngân hàng ngày mai.","thêm lịch đi ngân hàng ngày mai",calendar,train
256,"Tuần này có họp không?","tuần này có họp không",calendar,train
257,"Khởi động lại máy tính!","khởi động lại máy tính",control_device,train
258,"Tạo lịch đi ăn trưa lúc 12 giờ.","tạo lịch đi ăn trưa lúc 12 giờ",calendar,train
259,"Thêm lịch kiểm tra tài chính.","thêm lịch kiểm tra tài chính",calendar,train
260,"Tôi hay đi ngủ lúc 11h.","tôi hay đi ngủ lúc 11h",personalize,train
261,"Tắt nhạc đang phát!","tắt nhạc đang phát",control_device,train
262,"Tối nay có trận bóng nào?","tối nay có trận bóng nào",qa,train
263,"Nhắc tôi làm bài tập vào tối nay.","nhắc tôi làm bài tập vào tối nay",calendar,train
264,"Thêm lịch gọi điện buổi sáng.","thêm lịch gọi điện buổi sáng",calendar,train
265,"Chiều nay tôi rảnh lúc nào?","chiều nay tôi rảnh lúc nào",calendar,train
266,"Refresh màn hình!","refresh màn hình",control_device,train
267,"Nhắn tin cho Chu!","nhắn tin cho chu",control_device,train
268,"Tại sao ăn quá nhiều đường lại gây hại?","tại sao ăn quá nhiều đường lại gây hại",qa,train
269,"Thêm lịch tập thể dục sáng mai.","thêm lịch tập thể dục sáng mai",calendar,train
270,"Tại sao việc thực hành quan trọng hơn lý thuyết?","tại sao việc thực hành quan trọng hơn lý thuyết",qa,train
271,"Ngày mai có gì không?","ngày mai có gì không",calendar,train
272,"Thêm sinh nhật mẹ ngày 30 tháng 7.","thêm sinh nhật mẹ ngày 30 tháng 7",calendar,train
273,"IELTS có mấy phần thi?","ielts có mấy phần thi",qa,train
274,"Nhớ là tôi hay thức khuya.","nhớ là tôi hay thức khuya",personalize,train
275,"Tôi thích làm việc có kế hoạch.","tôi thích làm việc có kế hoạch",personalize,train
276,"Tại sao nên ghi chú khi học?","tại sao nên ghi chú khi học",qa,train
277,"Sao chép file!","sao chép file",control_device,train
278,"Làm sao để tạo thói quen tốt?","làm sao để tạo thói quen tốt",qa,train
279,"Tháng này có sự kiện nào không?","tháng này có sự kiện nào không",calendar,train
280,"Tạo nhắc nhở nộp bài ATmega128.","tạo nhắc nhở nộp bài atmega128",calendar,train
281,"Biến trong lập trình là gì vậy?","biến trong lập trình là gì vậy",qa,train
282,"Cách nấu phở bò ngon như thế nào?","cách nấu phở bò ngon như thế nào",qa,train
283,"Tạo lịch họp lúc 9h sáng.","tạo lịch họp lúc 9h sáng",calendar,train
284,"Nhắc tôi đi học lúc 6h.","nhắc tôi đi học lúc 6h",calendar,train
285,"Tăng âm lượng thêm một chút!","tăng âm lượng thêm một chút",control_device,train
286,"Tôi thích thời tiết dễ chịu.","tôi thích thời tiết dễ chịu",personalize,train
287,"Xem lịch tuần sau giúp tôi.","xem lịch tuần sau giúp tôi",calendar,train
288,"Trí tuệ nhân tạo là gì vậy?","trí tuệ nhân tạo là gì vậy",qa,train
289,"Sự khác nhau giữa tiết kiệm và đầu tư?","sự khác nhau giữa tiết kiệm và đầu tư",qa,train
290,"Dọn dẹp bộ nhớ máy!","dọn dẹp bộ nhớ máy",control_device,train
291,"Tôi muốn sống lành mạnh hơn.","tôi muốn sống lành mạnh hơn",personalize,train
292,"Tôi quan tâm đến thị trường chứng khoán.","tôi quan tâm đến thị trường chứng khoán",personalize,train
293,"Nhắc tôi tham gia cuộc họp lúc 3 giờ chiều.","nhắc tôi tham gia cuộc họp lúc 3 giờ chiều",calendar,train
294,"Next bài hát!","next bài hát",control_device,train
295,"Cách tiết kiệm tiền hiệu quả?","cách tiết kiệm tiền hiệu quả",qa,train
296,"Vitamin C có tác dụng gì?","vitamin c có tác dụng gì",qa,train
297,"Sự khác nhau giữa HTTP và HTTPS là gì?","sự khác nhau giữa http và https là gì",qa,train
298,"Hạ độ sáng màn hình!","hạ độ sáng màn hình",control_device,train
299,"Mấy giờ học vi điều khiển?","mấy giờ học vi điều khiển",calendar,train
300,"Thêm lịch làm việc buổi sáng.","thêm lịch làm việc buổi sáng",calendar,train
301,"Ngày mai có lịch thi không?","ngày mai có lịch thi không",calendar,train
302,"Mở IntelliJ!","mở intelij",control_device,train
303,"Lưu lại sở thích của tôi.","lưu lại sở thích của tôi",personalize,train
304,"Tôi hay dùng điện thoại buổi tối.","tôi hay dùng điện thoại buổi tối",personalize,train
305,"Khi nào đến lịch bảo dưỡng xe?","khi nào đến lịch bảo dưỡng xe",calendar,train
306,"Mở ứng dụng email!","mở ứng dụng email",control_device,train
307,"Bật đèn pin lên!","bật đèn pin lên",control_device,train
308,"Tôi thích làm việc vào buổi sáng.","tôi thích làm việc vào buổi sáng",personalize,train
309,"Lịch tháng này ra sao?","lịch tháng này ra sao",calendar,train
310,"Ghi nhớ địa chỉ trường học của tôi.","ghi nhớ địa chỉ trường học của tôi",personalize,train
311,"Cho tôi đặt lịch họp vào ngày mai.","cho tôi đặt lịch họp vào ngày mai",calendar,train
312,"Bộ nhớ RAM dùng để làm gì?","bộ nhớ ram dùng để làm gì",qa,train
313,"Nhớ là tôi thường nghe nhạc lúc làm việc.","nhớ là tôi thường nghe nhạc lúc làm việc",personalize,train
314,"Tôi không ăn đồ dầu mỡ.","tôi không ăn đồ dầu mỡ",personalize,train
315,"Tối nay có kế hoạch gì?","tối nay có kế hoạch gì",calendar,train
316,"Chụp màn hình giúp tôi!","chụp màn hình giúp tôi",control_device,train
317,"Mở phần cài đặt hệ thống!","mở phần cài đặt hệ thống",control_device,train
318,"Cho tôi xem lịch ngày mai.","cho tôi xem lịch ngày mai",calendar,train
319,"Cách thanh toán online an toàn?","cách thanh toán online an toàn",qa,train
320,"Xem có bản update không!","xem có bản update không",control_device,train
321,"Lịch ngày mai như thế nào?","lịch ngày mai như thế nào",calendar,validation
322,"Nhắc tôi liên hệ đối tác chiều mai.","nhắc tôi liên hệ đối tác chiều mai",calendar,validation
323,"Tạo lịch cập nhật tin tức.","tạo lịch cập nhật tin tức",calendar,validation
324,"Tại sao thiền giúp giảm căng thẳng?","tại sao thiền giúp giảm căng thẳng",qa,validation
325,"Tạo lịch gọi điện cho gia đình tối chủ nhật.","tạo lịch gọi điện cho gia đình tối chủ nhật",calendar,validation
326,"Tại sao giao thông cần luật lệ?","tại sao giao thông cần luật lệ",qa,validation
327,"Tôi ăn nhạt.","tôi ăn nhạt",personalize,validation
328,"Mở Chrome!","mở chrome",control_device,validation
329,"Thêm lịch nấu ăn lúc 6 giờ chiều.","thêm lịch nấu ăn lúc 6 giờ chiều",calendar,validation
330,"Cho tôi xem các sự kiện sắp tới.","cho tôi xem các sự kiện sắp tới",calendar,validation
331,"Tôi rất thích đồ ăn cay.","tôi rất thích đồ ăn cay",personalize,validation
332,"Tôi không thích video quá dài.","tôi không thích video quá dài",personalize,validation
333,"Cách rã đông thực phẩm nhanh?","cách rã đông thực phẩm nhanh",qa,validation
334,"Tại sao điện thoại nhanh hết pin?","tại sao điện thoại nhanh hết pin",qa,validation
335,"Tôi rất thích bánh ngọt.","tôi rất thích bánh ngọt",personalize,validation
336,"Mở lịch cho tôi xem!","mở lịch cho tôi xem",control_device,validation
