id,raw_text,normalized_text,label,split,normalized_no_accent
823,Vì sao cần ôn tập thường xuyên?,vì sao cần ôn tập thường xuyên,qa,train,vi sao can on tap thuong xuyen
758,Tôi muốn tập thể dục mỗi ngày.,tôi muốn tập thể dục mỗi ngày,personalize,train,toi muon tap the duc moi ngay
479,Nhắc tôi kiểm tra tài khoản.,nhắc tôi kiểm tra tài khoản,calendar,train,nhac toi kiem tra tai khoan
578,Nhắc tôi kiểm tra deadline.,nhắc tôi kiểm tra deadline,calendar,train,nhac toi kiem tra deadline
1440,Vì sao AI cần dữ liệu nhiều thế?,vì sao ai cần dữ liệu nhiều thế,qa,test,vi sao ai can du lieu nhieu the
677,Previous bài!,previous bài,control_device,train,previous bai
593,Phân biệt ML và DL?,phân biệt ml và dl,qa,train,phan biet ml va dl
845,Ngày mai có cuộc họp không?,ngày mai có cuộc họp không,calendar,train,ngay mai co cuoc hop khong
3,Mở danh bạ điện thoại!,mở danh bạ điện thoại,control_device,train,mo danh ba đien thoai
1348,Mai có lịch thi không?,mai có lịch thi không,calendar,train,mai co lich thi khong
702,"Từ ""sustainable"" nghĩa là gì?",từ sustainable nghĩa là gì,qa,train,tu sustainable nghia la gi
282,Cách nấu phở bò ngon như thế nào?,cách nấu phở bò ngon như thế nào,qa,train,cach nau pho bo ngon nhu the nao
953,Tôi ưu tiên dùng điện thoại.,tôi ưu tiên dùng điện thoại,personalize,train,toi uu tien dung đien thoai
594,Mở thư viện ảnh!,mở thư viện ảnh,control_device,train,mo thu vien anh
78,Bao nhiêu calo trong một quả táo?,bao nhiêu calo trong một quả táo,qa,test,bao nhieu calo trong mot qua tao
515,Tôi nghe podcast mỗi tối.,tôi nghe podcast mỗi tối,personalize,validation,toi nghe podcast moi toi
912,Tôi đang trong chế độ giảm cân.,tôi đang trong chế độ giảm cân,personalize,train,toi đang trong che đo giam can
210,Mở thùng rác!,mở thùng rác,control_device,train,mo thung rac
326,Tại sao giao thông cần luật lệ?,tại sao giao thông cần luật lệ,qa,train,tai sao giao thong can luat le
826,Chuyển sang ứng dụng khác!,chuyển sang ứng dụng khác,control_device,train,chuyen sang ung dung khac
733,Bật lại âm thanh!,bật lại âm thanh,control_device,validation,bat lai am thanh
82,Gần đây có rạp phim nào không?,gần đây có rạp phim nào không,qa,train,gan đay co rap phim nao khong
151,Xin chào!,xin chào,qa,train,xin chao
1471,MCP là gì trong AI agent?,mcp là gì trong ai agent,qa,train,mcp la gi trong ai agent
144,Vì sao lãi kép quan trọng?,vì sao lãi kép quan trọng,qa,train,vi sao lai kep quan trong
1005,Lên lịch học Python lúc 14 giờ hôm nay.,lên lịch học python lúc giờ hôm nay,calendar,train,len lich hoc python luc gio hom nay
1121,Vì sao websocket nhanh?,vì sao websocket nhanh,qa,train,vi sao websocket nhanh
1305,Mai có phải họp không nhỉ?,mai có phải họp không nhỉ,calendar,train,mai co phai hop khong nhi
1421,Vì sao transformer xử lý ngôn ngữ tốt vậy?,vì sao transformer xử lý ngôn ngữ tốt vậy,qa,test,vi sao transformer xu ly ngon ngu tot vay
1303,Thêm giúp tôi cái lịch học tối nay.,thêm giúp tôi cái lịch học tối nay,calendar,train,them giup toi cai lich hoc toi nay
789,Thêm lịch chuyển tiền vào sáng mai.,thêm lịch chuyển tiền vào sáng mai,calendar,test,them lich chuyen tien vao sang mai
740,Mở ứng dụng gallery!,mở ứng dụng gallery,control_device,train,mo ung dung gallery
525,Chụp ảnh ngay bây giờ!,chụp ảnh ngay bây giờ,control_device,train,chup anh ngay bay gio
1430,Vì sao websocket không cần polling liên tục?,vì sao websocket không cần polling liên tục,qa,validation,vi sao websocket khong can polling lien tuc
1314,Mai nhớ gọi tôi lúc 6h nha.,mai nhớ gọi tôi lúc h nha,calendar,train,mai nho goi toi luc h nha
1254,Đặt lịch đi khám 8h sáng thứ 6.,đặt lịch đi khám h sáng thứ,calendar,train,đat lich đi kham h sang thu
757,Tôi thường order đồ ăn online.,tôi thường order đồ ăn online,personalize,train,toi thuong order đo an online
1357,Tắt bluetooth giúp mình!,tắt bluetooth giúp mình,control_device,train,tat bluetooth giup minh
1206,Mở du túp!,mở du túp,control_device,validation,mo du tup
1514,Vector embedding tạo như thế nào?,vector embedding tạo như thế nào,qa,test,vector embedding tao nhu the nao
1062,JSON là gì?,json là gì,qa,validation,json la gi
237,Lên lịch chơi game tối nay.,lên lịch chơi game tối nay,calendar,train,len lich choi game toi nay
1055,Vector là gì?,vector là gì,qa,train,vector la gi
1377,Cho tôi vào Facebook!,cho tôi vào facebook,control_device,train,cho toi vao facebook
1307,Check xem mai tôi rảnh không?,check xem mai tôi rảnh không,calendar,train,check xem mai toi ranh khong
688,Tại sao ánh sáng xanh ảnh hưởng đến giấc ngủ?,tại sao ánh sáng xanh ảnh hưởng đến giấc ngủ,qa,train,tai sao anh sang xanh anh huong đen giac ngu
924,Tôi đi xe điện mỗi ngày.,tôi đi xe điện mỗi ngày,personalize,train,toi đi xe đien moi ngay
160,Làm việc nhóm có lợi ích gì?,làm việc nhóm có lợi ích gì,qa,train,lam viec nhom co loi ich gi
481,Mở ứng dụng ghi chú!,mở ứng dụng ghi chú,control_device,train,mo ung dung ghi chu
70,Lưu thông tin này lại.,lưu thông tin này lại,personalize,train,luu thong tin nay lai
153,Tên bạn là gì?,tên bạn là gì,qa,train,ten ban la gi
1321,Xóa cái lịch vừa tạo đi.,xóa cái lịch vừa tạo đi,calendar,train,xoa cai lich vua tao đi
484,Khóa màn hình ngay!,khóa màn hình ngay,control_device,train,khoa man hinh ngay
1398,Mình khá hướng nội.,mình khá hướng nội,personalize,train,minh kha huong noi
35,Đóng Excel lại!,đóng excel lại,control_device,train,đong excel lai
183,Mở gmail!,mở gmail,control_device,train,mo gmail
936,Kết thúc cuộc gọi!,kết thúc cuộc gọi,control_device,train,ket thuc cuoc goi
802,Ghi nhớ lịch trình của tôi.,ghi nhớ lịch trình của tôi,personalize,train,ghi nho lich trinh cua toi
211,Giảm độ sáng màn hình!,giảm độ sáng màn hình,control_device,test,giam đo sang man hinh
427,Mở file Word gần nhất!,mở file word gần nhất,control_device,train,mo file word gan nhat
801,Nhắc tôi uống nước mỗi 2 tiếng.,nhắc tôi uống nước mỗi tiếng,calendar,train,nhac toi uong nuoc moi tieng
871,Tôi thích không gian yên tĩnh.,tôi thích không gian yên tĩnh,personalize,train,toi thich khong gian yen tinh
589,Mã OTP là gì?,mã otp là gì,qa,train,ma otp la gi
1378,Phát playlist yêu thích đi!,phát playlist yêu thích đi,control_device,train,phat playlist yeu thich đi
73,Tôi thích ánh sáng nhẹ.,tôi thích ánh sáng nhẹ,personalize,train,toi thich anh sang nhe
258,Tạo lịch đi ăn trưa lúc 12 giờ.,tạo lịch đi ăn trưa lúc giờ,calendar,train,tao lich đi an trua luc gio
350,Tôi hay xem phim ban đêm.,tôi hay xem phim ban đêm,personalize,train,toi hay xem phim ban đem
736,Cầu Vàng thuộc tỉnh nào?,cầu vàng thuộc tỉnh nào,qa,train,cau vang thuoc tinh nao
1172,Mình làm Backend Developer.,mình làm backend developer,personalize,train,minh lam backend developer
919,Lên lịch luyện nói IELTS vào buổi tối.,lên lịch luyện nói ielts vào buổi tối,calendar,train,len lich luyen noi ielts vao buoi toi
458,Sáng nay có lịch học không?,sáng nay có lịch học không,calendar,train,sang nay co lich hoc khong
1114,Tensorflow là gì?,tensorflow là gì,qa,train,tensorflow la gi
321,Lịch ngày mai như thế nào?,lịch ngày mai như thế nào,calendar,train,lich ngay mai nhu the nao
601,Gọi điện cho số gần nhất!,gọi điện cho số gần nhất,control_device,train,goi đien cho so gan nhat
1069,Microservice là gì?,microservice là gì,qa,train,microservice la gi
1384,GPU là gì vậy?,gpu là gì vậy,qa,validation,gpu la gi vay
178,Nhớ là tôi không thích ồn ào.,nhớ là tôi không thích ồn ào,personalize,train,nho la toi khong thich on ao
461,Cách sống tích cực hơn mỗi ngày?,cách sống tích cực hơn mỗi ngày,qa,train,cach song tich cuc hon moi ngay
56,Tôi có rảnh chiều nay không?,tôi có rảnh chiều nay không,calendar,train,toi co ranh chieu nay khong
846,Lập lịch đi chơi vào cuối tuần.,lập lịch đi chơi vào cuối tuần,calendar,train,lap lich đi choi vao cuoi tuan
340,Chuyển bài tiếp theo!,chuyển bài tiếp theo,control_device,train,chuyen bai tiep theo
1388,Tui thích code đêm.,tui thích code đêm,personalize,train,tui thich code đem
1039,Internet hoạt động sao?,internet hoạt động sao,qa,test,internet hoat đong sao
1482,Xóa cái reminder hồi nãy đi!,xóa cái reminder hồi nãy đi,calendar,train,xoa cai reminder hoi nay đi
106,Giảm âm lượng xuống!,giảm âm lượng xuống,control_device,train,giam am luong xuong
1143,Mai rảnh không?,mai rảnh không,calendar,train,mai ranh khong
323,Tạo lịch cập nhật tin tức.,tạo lịch cập nhật tin tức,calendar,train,tao lich cap nhat tin tuc
239,Mở ứng dụng chỉnh sửa video!,mở ứng dụng chỉnh sửa video,control_device,train,mo ung dung chinh sua video
309,Lịch tháng này ra sao?,lịch tháng này ra sao,calendar,validation,lich thang nay ra sao
109,Tạo lịch họp nhóm vào chiều mai.,tạo lịch họp nhóm vào chiều mai,calendar,train,tao lich hop nhom vao chieu mai
433,Lưu lại địa điểm trường học.,lưu lại địa điểm trường học,personalize,train,luu lai đia điem truong hoc
436,Mở ứng dụng học tập!,mở ứng dụng học tập,control_device,train,mo ung dung hoc tap
1326,Đặt lịch họp team sáng thứ 2.,đặt lịch họp team sáng thứ,calendar,train,đat lich hop team sang thu
1275,Món khoái khẩu của tôi là bún bò.,món khoái khẩu của tôi là bún bò,personalize,train,mon khoai khau cua toi la bun bo
1552,Wifi 5ghz khác gì 2.4ghz?,wifi ghz khác gì ghz,qa,train,wifi ghz khac gi ghz
903,Nhắc tôi gọi điện vào cuối tuần.,nhắc tôi gọi điện vào cuối tuần,calendar,train,nhac toi goi đien vao cuoi tuan
608,Mở nhạc trên YouTube!,mở nhạc trên youtube,control_device,train,mo nhac tren youtube
132,Đóng tất cả tab!,đóng tất cả tab,control_device,train,đong tat ca tab
457,Thêm lịch ăn sáng lúc 7 giờ.,thêm lịch ăn sáng lúc giờ,calendar,train,them lich an sang luc gio
31,Nhắc tôi xem thông báo lúc 9 giờ.,nhắc tôi xem thông báo lúc giờ,calendar,train,nhac toi xem thong bao luc gio
55,Khi nào hôm nay tôi rảnh?,khi nào hôm nay tôi rảnh,calendar,train,khi nao hom nay toi ranh
1497,Lịch mai có kín không vậy?,lịch mai có kín không vậy,calendar,train,lich mai co kin khong vay
715,Tắt đèn pin đi!,tắt đèn pin đi,control_device,train,tat đen pin đi
1106,Multi agent là gì?,multi agent là gì,qa,train,multi agent la gi
1270,Nói chuyện casual thôi.,nói chuyện casual thôi,personalize,train,noi chuyen casual thoi
1085,Qwen là model gì?,qwen là model gì,qa,train,qwen la model gi
173,Lên lịch họp công ty vào sáng thứ hai.,lên lịch họp công ty vào sáng thứ hai,calendar,train,len lich hop cong ty vao sang thu hai
606,Gọi cho mẹ!,gọi cho mẹ,control_device,train,goi cho me
448,Thêm lịch học lúc 6 giờ sáng mai.,thêm lịch học lúc giờ sáng mai,calendar,train,them lich hoc luc gio sang mai
1119,Streaming audio là gì?,streaming audio là gì,qa,train,streaming audio la gi
776,Lịch ngày 30/3 thế nào?,lịch ngày thế nào,calendar,train,lich ngay the nao
573,Tôi hay xem tin công nghệ mỗi sáng.,tôi hay xem tin công nghệ mỗi sáng,personalize,train,toi hay xem tin cong nghe moi sang
655,Chiều tôi hay bị mất tập trung.,chiều tôi hay bị mất tập trung,personalize,train,chieu toi hay bi mat tap trung
841,Tại sao cần ăn rau?,tại sao cần ăn rau,qa,test,tai sao can an rau
26,Lịch học tiếng Anh tối nay thế nào?,lịch học tiếng anh tối nay thế nào,calendar,train,lich hoc tieng anh toi nay the nao
1077,Nginx là gì?,nginx là gì,qa,train,nginx la gi
1207,Gô gồ machine learning!,gô gồ machine learning,control_device,train,go go machine learning
1135,Thêm lịch đi cà phê tối nay.,thêm lịch đi cà phê tối nay,calendar,train,them lich đi ca phe toi nay
54,Thói quen buổi sáng tốt là gì?,thói quen buổi sáng tốt là gì,qa,test,thoi quen buoi sang tot la gi
69,Tại sao cần version control như Git?,tại sao cần version control như git,qa,train,tai sao can version control nhu git
1521,Đặt lịch đi cf học nhóm tối mai.,đặt lịch đi cf học nhóm tối mai,calendar,validation,đat lich đi cf hoc nhom toi mai
370,Đặt lịch bảo trì xe điện.,đặt lịch bảo trì xe điện,calendar,train,đat lich bao tri xe đien
462,Tạm dừng nhạc lại!,tạm dừng nhạc lại,control_device,train,tam dung nhac lai
1123,Vad filtering là gì?,vad filtering là gì,qa,train,vad filtering la gi
1473,Websocket stream audio kiểu gì?,websocket stream audio kiểu gì,qa,train,websocket stream audio kieu gi
534,Thêm lịch meeting vào ngày mai.,thêm lịch meeting vào ngày mai,calendar,train,them lich meeting vao ngay mai
1010,Kiểm tra lịch giúp tôi.,kiểm tra lịch giúp tôi,calendar,test,kiem tra lich giup toi
389,Tuần sau có kế hoạch gì?,tuần sau có kế hoạch gì,calendar,train,tuan sau co ke hoach gi
1041,Linux là gì?,linux là gì,qa,train,linux la gi
496,Sáng nay tôi có lịch gì?,sáng nay tôi có lịch gì,calendar,train,sang nay toi co lich gi
1465,Cache dùng để làm gì?,cache dùng để làm gì,qa,train,cache dung đe lam gi
262,Tối nay có trận bóng nào?,tối nay có trận bóng nào,qa,train,toi nay co tran bong nao
663,Lịch học IELTS hôm nay lúc mấy giờ?,lịch học ielts hôm nay lúc mấy giờ,calendar,train,lich hoc ielts hom nay luc may gio
792,Nhớ điều này cho tôi.,nhớ điều này cho tôi,personalize,train,nho đieu nay cho toi
721,Ổ cứng SSD khác gì HDD?,ổ cứng ssd khác gì hdd,qa,train,o cung ssd khac gi hdd
112,Lịch gần nhất của tôi là gì?,lịch gần nhất của tôi là gì,calendar,train,lich gan nhat cua toi la gi
1411,Tôi hay thức tới 2h sáng.,tôi hay thức tới h sáng,personalize,train,toi hay thuc toi h sang
771,Mở ứng dụng camera!,mở ứng dụng camera,control_device,validation,mo ung dung camera
911,Tại sao trọng lực giữ chúng ta trên mặt đất?,tại sao trọng lực giữ chúng ta trên mặt đất,qa,train,tai sao trong luc giu chung ta tren mat đat
432,Xem lịch làm việc hôm nay.,xem lịch làm việc hôm nay,calendar,train,xem lich lam viec hom nay
1228,Docker giúp gì cho deploy?,docker giúp gì cho deploy,qa,train,docker giup gi cho deploy
959,Cách giảm cân an toàn là gì?,cách giảm cân an toàn là gì,qa,train,cach giam can an toan la gi
962,Thêm lịch gặp bạn lúc 8h.,thêm lịch gặp bạn lúc h,calendar,train,them lich gap ban luc h
686,Vì sao cần luyện nói thường xuyên?,vì sao cần luyện nói thường xuyên,qa,train,vi sao can luyen noi thuong xuyen
847,Hãy nhớ tôi hay đặt đồ ăn qua ShopeeFood.,hãy nhớ tôi hay đặt đồ ăn qua shopeefood,personalize,train,hay nho toi hay đat đo an qua shopeefood
1393,Mở nó lên đi!,mở nó lên đi,control_device,train,mo no len đi
25,Tại sao cần kỹ năng giao tiếp?,tại sao cần kỹ năng giao tiếp,qa,train,tai sao can ky nang giao tiep
45,Mở Zalo!,mở zalo,control_device,train,mo zalo
835,Lên lịch sửa đồ vào cuối tuần.,lên lịch sửa đồ vào cuối tuần,calendar,train,len lich sua đo vao cuoi tuan
287,Xem lịch tuần sau giúp tôi.,xem lịch tuần sau giúp tôi,calendar,train,xem lich tuan sau giup toi
1424,Vì sao docker nhẹ hơn virtual machine?,vì sao docker nhẹ hơn virtual machine,qa,train,vi sao docker nhe hon virtual machine
895,Tôi không thích ồn ào.,tôi không thích ồn ào,personalize,train,toi khong thich on ao
1509,Mình thích ngồi góc yên tĩnh học bài.,mình thích ngồi góc yên tĩnh học bài,personalize,validation,minh thich ngoi goc yen tinh hoc bai
882,Tạo một sự kiện mới vào ngày mai.,tạo một sự kiện mới vào ngày mai,calendar,train,tao mot su kien moi vao ngay mai
1116,Sentence transformer là gì?,sentence transformer là gì,qa,train,sentence transformer la gi
553,Vì sao nên đọc sách tiếng Anh?,vì sao nên đọc sách tiếng anh,qa,train,vi sao nen đoc sach tieng anh
1209,Hệ điều hành dùng để làm gì?,hệ điều hành dùng để làm gì,qa,train,he đieu hanh dung đe lam gi
40,Làm sáng màn hình hơn!,làm sáng màn hình hơn,control_device,validation,lam sang man hinh hon
1460,Ubuntu khác Windows thế nào?,ubuntu khác windows thế nào,qa,train,ubuntu khac windows the nao
1065,HTTPS là gì?,là gì,qa,train,la gi
124,Căn bậc hai của 144 bằng bao nhiêu?,căn bậc hai của bằng bao nhiêu,qa,train,can bac hai cua bang bao nhieu
355,Nhớ là tôi dị ứng đậu phộng nhé.,nhớ là tôi dị ứng đậu phộng nhé,personalize,validation,nho la toi di ung đau phong nhe
51,Tôi thích nghe nhạc khi học.,tôi thích nghe nhạc khi học,personalize,test,toi thich nghe nhac khi hoc
894,Đặt lịch họp vào 14 giờ.,đặt lịch họp vào giờ,calendar,validation,đat lich hop vao gio
1555,Đi bộ mỗi ngày có lợi gì cho tim mạch?,đi bộ mỗi ngày có lợi gì cho tim mạch,qa,validation,đi bo moi ngay co loi gi cho tim mach
888,Bật bluetooth!,bật bluetooth,control_device,train,bat bluetooth
1223,Cơ sở dữ liệu quan hệ là gì?,cơ sở dữ liệu quan hệ là gì,qa,validation,co so du lieu quan he la gi
1290,Search blockchain tutorial!,search blockchain tutorial,control_device,train,search blockchain tutorial
1159,Mình thích chơi game.,mình thích chơi game,personalize,train,minh thich choi game
390,Liệt kê lịch hôm nay.,liệt kê lịch hôm nay,calendar,train,liet ke lich hom nay
1544,Ăn khuya có ảnh hưởng gì không?,ăn khuya có ảnh hưởng gì không,qa,train,an khuya co anh huong gi khong
891,Tìm kiếm file trên máy!,tìm kiếm file trên máy,control_device,train,tim kiem file tren may
1178,Vào YouTube đi!,vào youtube đi,control_device,train,vao youtube đi
1252,Tạo reminder uống nước mỗi sáng.,tạo reminder uống nước mỗi sáng,calendar,validation,tao reminder uong nuoc moi sang
987,Chạy Notepad!,chạy notepad,control_device,train,chay notepad
703,Tôi đang xây dựng lối sống healthy.,tôi đang xây dựng lối sống healthy,personalize,train,toi đang xay dung loi song healthy
1543,Sao ngủ ít lại đau đầu?,sao ngủ ít lại đau đầu,qa,train,sao ngu it lai đau đau
1512,Frontend với UI UX khác nhau sao?,frontend với ui ux khác nhau sao,qa,train,frontend voi ui ux khac nhau sao
1506,Tôi cực thích backend luôn.,tôi cực thích backend luôn,personalize,train,toi cuc thich backend luon
1152,Tôi thích màu xanh.,tôi thích màu xanh,personalize,train,toi thich mau xanh
192,Mở word lên!,mở word lên,control_device,train,mo word len
154,Bạn là ai?,bạn là ai,qa,train,ban la ai
1298,Mở lịch Google Calendar!,mở lịch google calendar,control_device,train,mo lich google calendar
1477,Vì sao cosine similarity hữu ích?,vì sao cosine similarity hữu ích,qa,train,vi sao cosine similarity huu ich
718,Ngày kia tôi có lịch gì không?,ngày kia tôi có lịch gì không,calendar,train,ngay kia toi co lich gi khong
518,Tôi ưu tiên đường nhanh.,tôi ưu tiên đường nhanh,personalize,test,toi uu tien đuong nhanh
639,Tăng độ sáng màn hình!,tăng độ sáng màn hình,control_device,train,tang đo sang man hinh
751,Nhắc tôi xem phim vào tối nay.,nhắc tôi xem phim vào tối nay,calendar,train,nhac toi xem phim vao toi nay
304,Tôi hay dùng điện thoại buổi tối.,tôi hay dùng điện thoại buổi tối,personalize,test,toi hay dung đien thoai buoi toi
1488,Restart máy dùm cái!,restart máy dùm cái,control_device,train,restart may dum cai
588,Bao nhiêu phút là 1 giờ?,bao nhiêu phút là giờ,qa,train,bao nhieu phut la gio
1391,Mai có gì không?,mai có gì không,calendar,test,mai co gi khong
42,Sáng mai tôi có rảnh không?,sáng mai tôi có rảnh không,calendar,train,sang mai toi co ranh khong
762,Tại sao cần học ngoại ngữ?,tại sao cần học ngoại ngữ,qa,train,tai sao can hoc ngoai ngu
1234,Text embedding là gì?,text embedding là gì,qa,train,text embedding la gi
806,Vì sao cơ thể cần protein để phát triển?,vì sao cơ thể cần protein để phát triển,qa,test,vi sao co the can protein đe phat trien
1546,Não bộ ghi nhớ thông tin kiểu gì?,não bộ ghi nhớ thông tin kiểu gì,qa,train,nao bo ghi nho thong tin kieu gi
1276,Mình ở Cầu Giấy.,mình ở cầu giấy,personalize,train,minh o cau giay
1412,Mình thích đi đường tránh đông xe.,mình thích đi đường tránh đông xe,personalize,validation,minh thich đi đuong tranh đong xe
571,Ngày mai tôi có lịch gì không?,ngày mai tôi có lịch gì không,calendar,validation,ngay mai toi co lich gi khong
437,Giúp tôi thêm lịch học lúc 7h tối.,giúp tôi thêm lịch học lúc h tối,calendar,train,giup toi them lich hoc luc h toi
122,Giảm độ sáng giúp tôi dễ chịu hơn.,giảm độ sáng giúp tôi dễ chịu hơn,personalize,train,giam đo sang giup toi de chiu hon
306,Mở ứng dụng email!,mở ứng dụng email,control_device,train,mo ung dung email
1150,Schedule cuộc họp lúc 10h.,schedule cuộc họp lúc h,calendar,train,schedule cuoc hop luc h
46,Lịch tháng 4 của tôi ra sao?,lịch tháng của tôi ra sao,calendar,train,lich thang cua toi ra sao
675,Tôi có rảnh tối nay không?,tôi có rảnh tối nay không,calendar,train,toi co ranh toi nay khong
575,Tháng này có deadline nào?,tháng này có deadline nào,calendar,test,thang nay co deadline nao
213,Hôm nay có deadline nào không?,hôm nay có deadline nào không,calendar,validation,hom nay co deadline nao khong
1347,Nhắc tôi đóng tiền điện cuối tháng.,nhắc tôi đóng tiền điện cuối tháng,calendar,test,nhac toi đong tien đien cuoi thang
834,Diện tích Việt Nam là bao nhiêu?,diện tích việt nam là bao nhiêu,qa,train,dien tich viet nam la bao nhieu
877,Xe máy nên thay dầu bao lâu một lần?,xe máy nên thay dầu bao lâu một lần,qa,train,xe may nen thay dau bao lau mot lan
1472,FastAPI dùng để làm gì?,fastapi dùng để làm gì,qa,train,fastapi dung đe lam gi
692,Tạo nhắc nhở uống nước đều đặn.,tạo nhắc nhở uống nước đều đặn,calendar,train,tao nhac nho uong nuoc đeu đan
564,Tạo nhắc nhở đi chạy bộ lúc 6 giờ.,tạo nhắc nhở đi chạy bộ lúc giờ,calendar,train,tao nhac nho đi chay bo luc gio
497,Sự kiện tiếp theo là gì?,sự kiện tiếp theo là gì,calendar,train,su kien tiep theo la gi
1267,Tôi làm Frontend Developer.,tôi làm frontend developer,personalize,train,toi lam frontend developer
276,Tại sao nên ghi chú khi học?,tại sao nên ghi chú khi học,qa,train,tai sao nen ghi chu khi hoc
464,Dán file vào thư mục!,dán file vào thư mục,control_device,test,dan file vao thu muc
644,Lên lịch đi siêu thị chiều nay.,lên lịch đi siêu thị chiều nay,calendar,train,len lich đi sieu thi chieu nay
537,Khi nào nên rửa xe?,khi nào nên rửa xe,qa,train,khi nao nen rua xe
460,Tắt YouTube!,tắt youtube,control_device,train,tat youtube
269,Thêm lịch tập thể dục sáng mai.,thêm lịch tập thể dục sáng mai,calendar,train,them lich tap the duc sang mai
1370,Mở settings hệ thống!,mở settings hệ thống,control_device,train,mo settings he thong
1453,LLM là viết tắt của gì?,llm là viết tắt của gì,qa,train,llm la viet tat cua gi
419,Đỉnh núi cao nhất Việt Nam tên gì?,đỉnh núi cao nhất việt nam tên gì,qa,train,đinh nui cao nhat viet nam ten gi
488,Tôi hay học vào ban đêm.,tôi hay học vào ban đêm,personalize,test,toi hay hoc vao ban đem
281,Biến trong lập trình là gì vậy?,biến trong lập trình là gì vậy,qa,train,bien trong lap trinh la gi vay
1425,GPU train AI nhanh hơn CPU bao nhiêu?,gpu train ai nhanh hơn cpu bao nhiêu,qa,train,gpu train ai nhanh hon cpu bao nhieu
260,Tôi hay đi ngủ lúc 11h.,tôi hay đi ngủ lúc h,personalize,train,toi hay đi ngu luc h
753,Cách kéo dài tuổi thọ pin điện thoại?,cách kéo dài tuổi thọ pin điện thoại,qa,train,cach keo dai tuoi tho pin đien thoai
739,Tắt bluetooth giúp tôi!,tắt bluetooth giúp tôi,control_device,train,tat bluetooth giup toi
797,Sông nào dài nhất trên thế giới vậy?,sông nào dài nhất trên thế giới vậy,qa,train,song nao dai nhat tren the gioi vay
1201,YouTube blockchain!,youtube blockchain,control_device,test,youtube blockchain
492,Tạo lịch họp nhóm dự án lúc 10 giờ sáng mai.,tạo lịch họp nhóm dự án lúc giờ sáng mai,calendar,train,tao lich hop nhom du an luc gio sang mai
12,Vì sao việc tự học quan trọng?,vì sao việc tự học quan trọng,qa,test,vi sao viec tu hoc quan trong
849,Ghi lại thông tin cá nhân của tôi.,ghi lại thông tin cá nhân của tôi,personalize,train,ghi lai thong tin ca nhan cua toi
1007,Lịch tuần này có gì đáng chú ý?,lịch tuần này có gì đáng chú ý,calendar,train,lich tuan nay co gi đang chu y
